sw,lw,pre,u10,vpd,lh,mean_2m_air_temperature,total_precipitation
194.864,341.868,86.925,1.526,4.807,50.8202,285.8678894042969,0.0310494396835565
205.404,324.689,87.133,1.2,5.489,51.0719,287.3544616699219,0.0004182234406471
233.936,324.139,87.015,1.365,5.344,74.3331,287.9280090332031,0.001824265345931
240.066,330.219,86.84,1.25,6.073,52.6617,286.5993347167969,0.0006783679127693
298.513,290.818,86.613,2.114,6.108,51.9013,284.9884033203125,0.0097672287374734
319.383,259.663,86.499,2.01,8.354,72.3377,283.8418273925781,0.0
314.161,281.747,86.61,2.011,10.203,51.8716,287.310302734375,1.862645149230957e-09
295.292,304.049,86.728,1.606,9.228,51.417,289.2306213378906,4.4703483581542975e-08
294.645,301.054,86.599,1.236,6.764,74.9589,289.3887023925781,2.922490239143372e-06
133.829,309.347,86.59,1.085,5.575,52.7139,285.51385498046875,0.0002652648836374
299.087,278.836,86.747,1.278,6.625,52.1092,284.4432373046875,0.0003620125353336
279.803,286.406,86.815,1.38,6.975,75.5485,284.33221435546875,0.0001066252589225
333.221,255.503,86.632,1.37,8.229,53.189,284.4762268066406,2.851523458957672e-05
299.917,279.992,86.588,1.302,8.164,52.5736,284.4145812988281,4.4703483581542975e-08
321.913,284.214,86.857,1.273,7.656,76.1084,286.5869445800781,0.0004225745797157
330.326,279.633,86.991,0.948,8.73,53.6138,287.9123229980469,1.0855495929718018e-05
326.399,283.694,87.0,1.063,9.166,53.1667,288.0652160644531,0.0
327.048,287.082,86.906,1.307,9.681,77.1391,289.2903137207031,1.862645149230957e-09
322.552,294.095,86.636,1.455,11.835,54.3023,289.5599670410156,0.0001794714480638
327.825,295.946,86.705,1.044,10.089,53.8638,290.8519592285156,2.633780241012573e-06
324.953,304.901,86.832,1.085,10.301,78.5835,291.2884521484375,1.5398487448692322e-05
321.283,311.151,86.725,1.041,11.329,55.8169,292.53570556640625,8.082017302513123e-05
294.171,318.759,86.655,0.681,11.607,55.5558,293.3741149902344,8.353963494300842e-06
302.56,319.728,86.604,1.052,12.088,81.2282,294.2022399902344,5.197897553443909e-05
336.361,303.185,86.565,1.157,11.974,57.6085,294.22857666015625,4.4703483581542975e-08
339.673,301.581,86.645,1.162,10.437,56.939,293.27899169921875,4.284083843231201e-08
329.432,307.358,86.788,1.044,10.416,82.4831,293.372802734375,1.1585652828216553e-06
297.497,327.262,86.719,1.376,13.317,57.8625,293.8177795410156,0.0001496747136116
322.544,324.692,86.577,1.614,15.502,56.8865,295.4716796875,5.89955598115921e-05
310.841,325.041,86.328,1.661,16.17,82.5286,296.2424011230469,0.0005194321274757
321.341,308.774,86.241,1.321,14.365,57.5265,295.8864440917969,1.862645149230957e-09
351.422,285.836,86.355,1.652,11.086,56.4531,293.2992248535156,4.0978193283081055e-08
347.883,279.919,86.509,1.461,10.516,81.0536,290.657470703125,0.0
275.053,306.268,86.621,1.432,9.586,56.55,289.9681091308594,0.0001095496118068
77.566,335.433,86.682,1.036,4.592,55.2596,286.6037292480469,0.0128067806363105
312.499,296.087,86.601,1.329,6.637,79.2833,285.5335388183594,0.0058165676891803
355.071,266.793,86.55,1.319,9.601,55.6802,286.14990234375,0.0003159157931804
297.819,308.32,86.857,1.107,9.61,54.8219,287.5453186035156,0.0
327.669,319.888,86.957,1.292,10.377,79.5438,289.8289489746094,7.899850606918335e-05
249.691,341.11,86.771,1.225,9.835,53.515,292.1397399902344,4.284083843231201e-08
307.49,338.947,86.597,1.114,11.272,52.69,293.1286315917969,2.663582563400269e-06
348.439,322.027,86.594,1.116,11.636,76.1736,294.4779052734375,0.0
331.283,316.49,86.764,1.666,9.494,72.549,293.4643249511719,0.0
315.1,316.02,86.585,1.209,9.231,73.9509,291.8390197753906,4.647299647331238e-07
293.763,308.784,86.275,0.854,7.399,69.9552,291.3479309082031,5.201250314712525e-05
96.965,344.355,86.288,1.264,2.738,38.4641,289.3833312988281,0.0023201890289783
77.573,345.18,86.325,1.262,0.537,17.4547,286.041015625,0.0179298445582389
288.413,306.581,86.052,1.234,3.448,111.069,287.0087585449219,0.0004152879118919
355.661,311.835,85.9,1.414,9.26,174.501,291.4508361816406,9.41939651966095e-06
362.299,318.448,85.799,1.492,10.176,158.989,292.9979858398437,8.735805749893188e-07
343.442,329.781,86.004,1.498,8.557,142.765,292.6026916503906,0.0009425710886716
304.231,335.832,86.241,1.281,6.502,116.695,290.5523681640625,0.0044923806563019
271.359,332.267,86.497,1.332,6.303,120.506,290.3276672363281,0.0007559340447187
323.119,311.605,86.446,2.122,6.725,121.443,291.2179260253906,1.3476237654685974e-05
316.75,308.816,86.079,1.843,3.848,100.194,289.7429504394531,4.796124994754791e-05
327.479,327.955,85.807,1.415,4.938,100.47,287.5406494140625,0.0072575258091092
271.501,348.362,86.043,1.229,4.237,99.5359,291.29107666015625,0.000320516526699
351.701,341.595,86.487,1.307,3.973,139.395,292.761962890625,0.0006712395697832
353.144,345.961,86.638,1.391,7.503,166.141,294.7803649902344,0.0002944339066743
340.216,336.959,86.556,1.599,11.956,142.742,296.23687744140625,0.0
364.203,319.64,86.553,1.543,14.049,160.463,295.8345947265625,0.0
362.534,323.319,86.598,1.51,14.223,151.8,296.0747375488281,0.0
338.304,309.018,86.333,1.273,12.979,150.293,295.0469665527344,0.0
366.427,296.535,86.155,1.912,10.282,161.898,292.7022705078125,0.0
350.459,285.893,86.4,1.745,11.534,143.153,290.4075622558594,0.0
373.117,280.357,86.644,1.499,11.367,136.458,290.8345031738281,1.862645149230957e-09
368.213,298.001,86.565,1.579,15.185,148.105,293.3373718261719,4.284083843231201e-08
367.766,309.634,86.467,1.723,15.811,149.266,295.29656982421875,0.0
322.605,310.053,86.436,1.459,14.089,125.188,295.7041931152344,0.0
361.977,295.331,86.463,1.571,14.105,122.032,293.8169860839844,0.0
369.367,283.4,86.454,1.784,9.118,105.896,290.574951171875,0.0
370.317,279.593,86.334,1.817,6.898,99.5881,288.2068176269531,0.0
211.559,301.064,86.76,1.234,5.911,110.217,286.3165588378906,0.0047478377819061
372.507,283.669,86.698,1.502,8.811,121.243,288.2038879394531,4.284083843231201e-08
368.836,292.131,86.599,1.045,10.488,121.873,291.55780029296875,0.0
364.942,308.715,86.484,1.16,16.439,144.298,295.6474304199219,1.862645149230957e-09
366.647,309.765,86.529,1.483,15.89,139.742,295.9316711425781,4.0978193283081055e-08
368.847,306.271,86.69,1.488,16.9,145.727,295.6322937011719,0.0
366.558,313.327,86.577,1.483,16.542,139.612,295.07196044921875,0.0
363.915,328.24,86.51,1.562,17.533,142.053,296.5575866699219,0.0
326.949,341.141,86.501,1.431,18.858,140.846,298.4808044433594,0.0
358.908,332.694,86.385,1.521,13.282,127.709,298.0804748535156,0.0
343.957,319.542,86.251,1.545,11.038,119.489,295.2801513671875,1.862645149230957e-09
352.464,306.316,86.328,1.446,10.715,122.687,293.9250793457031,4.284083843231201e-08
354.862,309.112,86.549,1.422,12.125,127.357,294.4147033691406,9.313225746154783e-10
354.728,317.242,86.634,1.12,14.874,137.877,295.7434997558594,2.142041921615601e-08
354.673,331.95,86.796,1.331,15.142,136.935,296.9860534667969,0.0
348.248,324.663,86.827,1.192,15.955,116.494,297.1029052734375,0.0
212.812,341.809,86.651,1.081,11.886,97.212,296.0708923339844,0.0
347.306,316.45,86.507,1.856,12.61,124.83,294.6799621582031,1.862645149230957e-09
353.071,312.0,86.436,1.535,11.686,120.236,293.9748229980469,4.284083843231201e-08
353.03,329.989,86.406,1.477,16.121,132.89,296.1065368652344,0.0
348.242,334.222,86.56,1.229,15.643,126.746,296.365478515625,0.0
319.861,339.274,86.618,1.367,15.316,123.9,297.3834533691406,0.0
313.938,335.308,86.717,1.361,15.432,116.1,297.4344177246094,0.0
160.802,344.563,86.819,1.093,7.987,62.7364,294.3785400390625,0.0003355387598276
214.411,337.419,86.795,0.891,9.586,89.5916,294.3403015136719,0.0007059555500745
320.047,342.777,86.631,1.286,17.681,123.365,295.99822998046875,9.103864431381226e-05
338.228,340.741,86.424,1.385,16.099,128.206,296.8319396972656,0.0007426142692565
337.645,332.352,86.48,1.172,16.504,116.644,295.623291015625,0.0003183763474225
257.681,336.854,86.521,1.043,15.196,97.0735,295.4132385253906,0.0002937484532594
341.944,331.256,86.623,1.368,15.411,122.718,295.9606018066406,7.644295692443848e-05
335.274,319.058,86.766,1.682,12.314,96.5699,294.3617858886719,4.151836037635803e-06
336.09,308.886,86.917,1.38,13.516,100.487,293.0589599609375,0.0
326.123,314.083,86.912,1.317,14.119,99.9908,294.389892578125,0.0
336.141,307.104,86.858,1.446,17.737,111.407,294.2450866699219,0.0
331.409,314.215,86.843,1.193,16.817,107.588,295.7815856933594,0.0
330.459,325.427,87.032,1.371,15.429,102.363,297.4414367675781,0.0
326.697,333.483,87.005,1.313,15.37,99.2065,299.0979919433594,0.0
304.516,345.316,86.817,1.222,25.802,109.687,299.6452331542969,0.0
293.73,356.86,86.554,1.386,19.617,105.82,300.7736511230469,0.0
303.805,350.952,86.387,1.52,24.136,102.587,300.3837585449219,7.666461169719696e-05
315.516,325.479,86.227,1.468,12.789,87.6124,297.8171691894531,2.812221646308899e-05
321.184,307.796,86.436,1.353,5.647,72.8792,292.1830749511719,4.284083843231201e-08
318.573,316.758,86.536,1.157,6.716,77.4604,291.9990234375,1.255609095096588e-05
313.653,323.168,86.65,1.188,9.497,81.4174,294.0434875488281,2.514570951461792e-06
307.359,330.4,86.819,1.476,15.446,86.3448,295.3881225585937,0.0001116245985031
304.798,336.626,86.611,1.346,15.143,86.0702,296.09747314453125,0.0001017116010189
308.302,331.3,86.386,1.451,16.326,89.6632,296.689697265625,0.0
305.954,314.335,86.415,1.747,14.304,77.3953,294.8703308105469,0.0
305.477,309.269,86.622,1.344,11.321,73.8022,292.6824035644531,0.0
304.157,308.062,86.696,1.283,8.636,68.9696,292.8299865722656,0.0
163.155,345.495,86.592,1.129,10.295,66.4244,293.3597717285156,0.000465378165245
170.01,349.076,86.781,1.678,4.035,86.8455,292.0319519042969,0.0076039154082536
333.497,319.368,86.953,1.239,8.82,108.204,293.1278381347656,0.0
303.603,322.059,86.999,1.554,14.995,93.4924,294.5357360839844,0.0
202.171,325.163,86.845,1.237,10.651,77.8096,293.3215026855469,0.0
302.454,316.768,86.866,1.333,6.214,80.629,291.5883178710937,0.0004137344658374
299.401,309.428,86.7,1.284,8.783,82.4412,291.7964782714844,0.0
293.645,306.247,86.716,1.348,8.479,73.5939,292.277587890625,0.0
293.411,305.032,86.751,1.437,7.382,78.2503,291.7038879394531,5.662441253662109e-07
290.969,303.639,86.709,1.315,9.06,70.0278,292.1431579589844,3.725290298461914e-09
290.27,306.231,86.578,1.474,10.984,71.7183,292.10064697265625,8.568167686462402e-08
272.484,317.743,86.463,1.459,11.129,71.1997,292.4329528808594,0.0
243.21,321.744,86.352,1.37,10.857,66.5447,293.3538513183594,0.0
269.023,317.699,86.464,1.329,11.699,69.3005,293.3253479003906,0.0002543646842241
152.713,333.227,86.818,0.952,10.466,53.0239,293.5211181640625,0.0025284923613071
250.241,333.748,86.981,1.223,9.859,64.5261,293.21600341796875,0.0017276369035243
276.925,344.36,86.775,1.412,13.668,66.3883,295.3985900878906,4.035234451293945e-05
236.551,342.449,86.555,1.601,12.366,61.249,296.3218078613281,5.195103585720062e-05
266.217,314.561,86.623,1.605,12.531,67.4352,295.2822570800781,3.116205334663391e-06
256.035,307.67,86.665,1.19,13.143,64.7166,294.2755432128906,0.0
222.198,338.389,86.554,1.067,14.502,61.6226,294.0517883300781,0.0001275520771741
250.849,340.37,86.557,1.409,13.703,62.5069,294.65087890625,7.358472794294357e-05
264.035,308.123,86.543,1.341,9.389,60.6214,293.18267822265625,0.0001056091859936
267.362,302.548,86.323,0.984,9.363,60.6914,290.90191650390625,5.178153514862061e-07
261.221,310.629,86.138,1.137,10.085,60.4948,291.6824645996094,4.0978193283081055e-08
258.893,304.945,86.235,1.677,8.47,62.4803,291.9534606933594,0.0
202.386,324.115,86.566,2.035,6.736,61.0372,290.4757080078125,0.0015160236507654
231.413,304.744,86.954,1.234,6.535,60.5639,287.2901611328125,0.0068983100354671
255.73,289.408,86.7,1.32,10.485,62.5017,288.0330505371094,0.0
238.146,302.754,86.426,1.538,8.871,60.9327,289.6627502441406,0.0
225.024,307.608,86.317,1.225,7.001,50.4826,289.8050842285156,0.0065461788326501
237.018,301.961,86.36,1.61,10.117,52.822,288.6434936523437,0.0024696132168173
249.535,300.407,86.454,1.769,12.281,52.4451,291.40631103515625,0.0
247.017,301.623,86.464,1.325,13.063,52.9206,291.7637023925781,0.0
244.631,305.355,86.441,1.118,13.412,55.4618,291.885498046875,0.0
228.063,321.591,86.365,1.498,15.899,55.0208,293.7470397949219,0.0
235.17,328.303,86.198,1.474,17.097,55.4778,295.1400756835937,0.0
168.311,344.999,86.183,1.263,12.854,58.4146,293.9989318847656,0.0005134809762239
226.678,309.704,86.916,1.186,7.805,58.1638,291.3623352050781,7.205735892057419e-05
231.006,304.49,86.761,1.884,13.243,58.3937,291.6566772460937,0.0
228.56,315.033,86.428,1.79,16.234,60.4813,295.0887451171875,0.0
223.673,327.348,86.43,1.746,13.6,58.8943,294.7179870605469,0.0
224.277,316.459,86.599,1.533,11.283,57.998,293.8624572753906,0.0
208.543,320.61,86.44,2.153,8.507,59.043,292.2512512207031,0.0
195.727,309.589,86.545,1.187,6.436,56.8617,287.9488220214844,0.0126295303925871
221.072,288.55,86.569,1.296,9.499,55.6019,286.9180908203125,0.0
